timestamp,open,high,low,close,volume,close_time,quote_asset_volume
1720670400000,1.179,1.197,1.172,1.194,29580.49,1720684800000,35198.439
1720684800000,1.194,1.221,1.18,1.216,167630.39,1720699200000,201143.999
1720699200000,1.216,1.235,1.174,1.18,228267.01,1720713600000,275938.47
1720713600000,1.18,1.192,1.165,1.165,197626.18,1720728000000,233830.969
1720728000000,1.165,1.166,1.137,1.147,131664.33,1720742400000,151443.405
1720742400000,1.147,1.166,1.129,1.148,162616.69,1720756800000,187100.415
1720756800000,1.148,1.149,1.123,1.128,43793.48,1720771200000,49785.849
1720771200000,1.128,1.134,1.102,1.11,117454.02,1720785600000,131203.825
1720785600000,1.11,1.16,1.109,1.159,113628.68,1720800000000,129473.166
1720800000000,1.159,1.163,1.14,1.143,235638.37,1720814400000,270945.802
1720814400000,1.143,1.192,1.128,1.188,246642.99,1720828800000,285651.374
1720828800000,1.188,1.215,1.18,1.18,357466.82,1720843200000,428679.89
1720843200000,1.18,1.187,1.167,1.172,77421.93,1720857600000,91136.961
1720857600000,1.172,1.189,1.162,1.171,126593.67,1720872000000,148798.119
1720872000000,1.171,1.175,1.157,1.168,78409.16,1720886400000,91413.663
1720886400000,1.168,1.177,1.15,1.155,35842.62,1720900800000,41665.158
1720900800000,1.155,1.186,1.138,1.165,87037.74,1720915200000,100870.98
1720915200000,1.165,1.195,1.164,1.181,145683.13,1720929600000,171966.846
1720929600000,1.181,1.23,1.18,1.224,171213.02,1720944000000,207481.444
1720944000000,1.224,1.237,1.199,1.202,101310.26,1720958400000,123645.714
1720958400000,1.202,1.204,1.181,1.192,123051.31,1720972800000,146388.551
1720972800000,1.192,1.198,1.182,1.184,114101.76,1720987200000,135628.462
1720987200000,1.184,1.268,1.181,1.247,153347.84,1721001600000,187761.425
1721001600000,1.247,1.322,1.239,1.307,225350.59,1721016000000,290497.949
1721016000000,1.307,1.319,1.278,1.306,352005.38,1721030400000,459374.021
1721030400000,1.306,1.319,1.287,1.305,85636.8,1721044800000,111682.708
1721044800000,1.305,1.335,1.3,1.31,551778.31,1721059200000,724360.529
1721059200000,1.31,1.365,1.297,1.34,587144.07,1721073600000,782777.945
1721073600000,1.34,1.43,1.338,1.421,626691.7,1721088000000,872840.606
1721088000000,1.421,1.428,1.37,1.381,215135.87,1721102400000,298767.172
1721102400000,1.381,1.396,1.317,1.328,159838.01,1721116800000,216088.424
1721116800000,1.328,1.379,1.315,1.363,211790.99,1721131200000,285212.777
1721131200000,1.363,1.464,1.348,1.451,303458.69,1721145600000,425900.891
1721145600000,1.451,1.48,1.423,1.445,179355.01,1721160000000,259454.521
1721160000000,1.445,1.445,1.389,1.43,339878.54,1721174400000,482330.017
1721174400000,1.43,1.47,1.418,1.432,96438.73,1721188800000,139742.271
1721188800000,1.432,1.5,1.423,1.5,138426.47,1721203200000,202212.354
1721203200000,1.5,1.554,1.471,1.491,217343.19,1721217600000,329622.196
1721217600000,1.491,1.538,1.482,1.483,308839.64,1721232000000,467757.283
1721232000000,1.483,1.512,1.441,1.485,275921.12,1721246400000,408644.188
1721246400000,1.485,1.501,1.452,1.453,97414.28,1721260800000,143605.995
1721260800000,1.453,1.485,1.453,1.471,17565.47,1721275200000,25908.293
1721275200000,1.471,1.5,1.448,1.468,76032.2,1721289600000,112421.808
1721289600000,1.468,1.487,1.423,1.435,86622.55,1721304000000,125389.283
1721304000000,1.435,1.471,1.383,1.39,164134.4,1721318400000,232558.325
1721318400000,1.39,1.405,1.371,1.385,169778.97,1721332800000,235936.696
