timestamp,open,high,low,close,volume,close_time,quote_asset_volume
1720670400000,1.571,1.662,1.524,1.652,73396.99,1720684800000,117265.494
1720684800000,1.652,1.684,1.634,1.676,36779.61,1720699200000,61100.314
1720699200000,1.676,1.693,1.602,1.612,91558.4,1720713600000,150781.991
1720713600000,1.612,1.635,1.6,1.609,11699.72,1720728000000,18928.583
1720728000000,1.609,1.626,1.592,1.613,63309.52,1720742400000,101611.959
1720742400000,1.613,1.628,1.553,1.571,47349.3,1720756800000,74556.272
1720756800000,1.571,1.591,1.559,1.589,12986.45,1720771200000,20448.918
1720771200000,1.589,1.59,1.538,1.556,17078.07,1720785600000,26578.615
1720785600000,1.556,1.721,1.553,1.689,76352.77,1720800000000,127810.919
1720800000000,1.689,1.72,1.648,1.649,25454.35,1720814400000,43040.147
1720814400000,1.649,1.683,1.631,1.671,17370.55,1720828800000,28760.717
1720828800000,1.671,1.678,1.64,1.645,19623.1,1720843200000,32637.144
1720843200000,1.645,1.697,1.632,1.675,11369.99,1720857600000,18880.699
1720857600000,1.675,1.692,1.656,1.664,21676.64,1720872000000,36225.735
1720872000000,1.664,1.69,1.664,1.679,27506.55,1720886400000,46151.489
1720886400000,1.679,1.695,1.669,1.683,6404.7,1720900800000,10782.264
1720900800000,1.683,1.735,1.674,1.693,19702.76,1720915200000,33361.385
1720915200000,1.693,1.705,1.651,1.67,11392.96,1720929600000,19085.807
1720929600000,1.67,1.71,1.666,1.683,15649.59,1720944000000,26385.319
1720944000000,1.683,1.696,1.667,1.677,29543.03,1720958400000,49754.712
1720958400000,1.677,1.679,1.652,1.667,25550.94,1720972800000,42549.555
1720972800000,1.667,1.693,1.666,1.691,10439.56,1720987200000,17501.603
1720987200000,1.691,1.738,1.688,1.729,9000.46,1721001600000,15440.606
1721001600000,1.729,1.897,1.719,1.882,160510.65,1721016000000,294455.511
1721016000000,1.882,1.911,1.86,1.898,29847.39,1721030400000,56236.815
1721030400000,1.898,1.906,1.862,1.862,51466.09,1721044800000,96886.453
1721044800000,1.862,1.894,1.857,1.87,110859.43,1721059200000,207755.268
1721059200000,1.87,1.89,1.863,1.884,34388.0,1721073600000,64610.583
1721073600000,1.884,1.921,1.858,1.914,81509.26,1721088000000,154289.823
