timestamp,open,high,low,close,volume,close_time,quote_asset_volume
1698710400000,1,3,0.98,2.271,5074372.05,1698796800000,11199309.8182
1698796800000,2.271,2.67,2.13,2.5462,1669551.13,1698883200000,3966808.4071
1698883200000,2.5462,2.8572,2.27,2.3972,924250.36,1698969600000,2365944.8469
1698969600000,2.3972,2.487,2.2205,2.3933,374152.84,1699056000000,872389.7024
1699056000000,2.3933,2.4937,2.3528,2.4281,198876.56,1699142400000,480588.2158
1699142400000,2.4281,2.4699,2.251,2.3075,177326.31,1699228800000,417360.2655
1699228800000,2.3075,2.39,2.2513,2.3624,129612.24,1699315200000,301022.7611
1699315200000,2.3624,2.4512,2.227,2.3395,164697.07,1699401600000,382905.2782
1699401600000,2.3395,2.4078,2.2973,2.3685,121319.85,1699488000000,285855.3311
1699488000000,2.3685,2.64,2.2537,2.4531,275636.8,1699574400000,677846.3202
1699574400000,2.4531,3.3061,2.368,3.1894,617337.79,1699660800000,1720936.0647
1699660800000,3.1894,4.2559,3.1357,3.967,941033.45,1699747200000,3519992.2339
1699747200000,3.967,4.855,3.6992,4.6156,992281.72,1699833600000,4295039.3735
1699833600000,4.6156,5.9849,4.2571,4.3777,1173454.04,1699920000000,6113031.4874
1699920000000,4.3777,6.4617,4.2152,5.9959,1276681.23,1700006400000,7155689.3592
1700006400000,5.9959,6.5101,5.748,5.8264,667739.57,1700092800000,4084735.2117
1700092800000,5.8264,6.3421,5.443,5.7473,526240.08,1700179200000,3127157.0757
1700179200000,5.7473,7.0803,5.7045,7.0612,552722.29,1700265600000,3505763.7918
1700265600000,7.0612,7.4136,6.2,7.1485,352234.86,1700352000000,2417745.9488
1700352000000,7.1485,7.4,6.5905,6.7977,339611.35,1700438400000,2380138.2424
1700438400000,6.7977,7.0273,5.9165,5.9755,336948.75,1700524800000,2204000.5397
1700524800000,5.9755,6.1345,5.01,5.01,506227.74,1700611200000,2795066.6784
1700611200000,5.01,6.31,5.01,6.1066,314738.12,1700697600000,1824942.6667
1700697600000,6.1066,6.3152,5.6267,5.638,157155.6,1700784000000,937815.6288
1700784000000,5.638,5.83,5.4136,5.5198,247954.2,1700870400000,1380821.352
1700870400000,5.5198,6.1999,5.466,5.9511,242631.02,1700956800000,1384495.1242
1700956800000,5.9511,5.9602,5.3475,5.4332,199343.05,1701043200000,1120343.5787
1701043200000,5.4332,5.9232,5.1457,5.881,337667.04,1701129600000,1864402.585
1701129600000,5.881,6.4838,5.5,6.2374,213225.95,1701216000000,1306435.477
1701216000000,6.2374,6.6832,5.9954,6.0211,159429.78,1701302400000,1005540.9327
1701302400000,6.0211,6.478,5.93,6.3827,177096.36,1701388800000,1105475.9349
1701388800000,6.3827,7.27,6.286,7.0936,340553.41,1701475200000,2378157.5034
1701475200000,7.0936,9.5,7.0467,8.86,519755.4,1701561600000,4347055.7582
1701561600000,8.86,9.3,8.0441,8.5898,367322.85,1701648000000,3180161.9712
1701648000000,8.5898,9.8419,8,8.9491,522487.79,1701734400000,4737882.5862
1701734400000,8.9491,10.49,8.3,10.1513,307641.77,1701820800000,2834756.4349
1701820800000,10.1513,11.4702,9.25,9.6276,472282.26,1701907200000,4917715.5531
1701907200000,9.6276,10.444,9.2953,9.5027,314214.78,1701993600000,3096747.2109
1701993600000,9.5027,9.952,8.82,9.286,421146.07,1702080000000,3972939.8654
1702080000000,9.286,10.21,8.99,9.3201,474707.14,1702166400000,4574492.6426
