timestamp,open,high,low,close,volume,close_time,quote_asset_volume
1727019000000,1.666,1.672,1.66,1.662,44659.42,1727020800000,74359.187
1727020800000,1.662,1.667,1.644,1.664,103161.86,1727022600000,170742.93
1727022600000,1.664,1.681,1.661,1.674,106994.0,1727024400000,179121.783
1727024400000,1.674,1.687,1.669,1.676,95681.28,1727026200000,160474.042
1727026200000,1.676,1.696,1.674,1.69,155593.53,1727028000000,262740.974
1727028000000,1.69,1.692,1.668,1.678,99017.76,1727029800000,166340.375
1727029800000,1.678,1.684,1.675,1.676,42593.53,1727031600000,71526.082
1727031600000,1.676,1.68,1.662,1.663,56016.24,1727033400000,93515.864
1727033400000,1.663,1.689,1.663,1.683,42897.68,1727035200000,71866.422
1727035200000,1.683,1.691,1.678,1.689,101182.95,1727037000000,170539.102
1727037000000,1.689,1.69,1.67,1.676,71576.13,1727038800000,120156.92
1727038800000,1.676,1.68,1.673,1.673,33771.14,1727040600000,56599.637
1727040600000,1.673,1.676,1.636,1.64,100146.18,1727042400000,165998.811
1727042400000,1.64,1.651,1.624,1.65,202185.72,1727044200000,330298.328
1727044200000,1.65,1.715,1.65,1.71,288736.35,1727046000000,488886.927
1727046000000,1.71,1.721,1.685,1.693,127698.95,1727047800000,217285.008
1727047800000,1.693,1.701,1.687,1.693,84860.08,1727049600000,143819.762
1727049600000,1.693,1.725,1.676,1.723,275045.04,1727051400000,466848.902
1727051400000,1.723,1.765,1.716,1.731,395139.51,1727053200000,688311.216
1727053200000,1.731,1.747,1.726,1.742,177351.46,1727055000000,308272.099
1727055000000,1.742,1.757,1.74,1.749,123156.16,1727056800000,215555.927
1727056800000,1.749,1.753,1.722,1.723,177562.25,1727058600000,308198.631
1727058600000,1.723,1.742,1.721,1.729,196360.13,1727060400000,339829.184
1727060400000,1.729,1.789,1.728,1.787,568523.88,1727062200000,1005320.153
1727062200000,1.787,1.791,1.77,1.772,434412.61,1727064000000,772806.443
1727064000000,1.772,1.782,1.756,1.758,291669.77,1727065800000,516196.324
